tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1967-southern-pro,Southern Pro Championships,,,P,19670220,1,BO42,,,Earl Baumgardner,,,USA,,B152,,,Tom Buford,,,USA,,,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1967-southern-pro,Southern Pro Championships,,,P,19670220,2,,,,Jim Nerren,,,USA,,,,,Jerry Evert,,,USA,,,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1967-southern-pro,Southern Pro Championships,,,P,19670220,3,,,,Delmar Sylvia,,,USA,,,,,Ronnie Fenasci,,,USA,,,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1967-southern-pro,Southern Pro Championships,,,P,19670220,4,,,,Jim Shaffer,,,USA,,ST00,,,Jim Shakespeare,,,USA,,,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1967-southern-pro,Southern Pro Championships,,,P,19670220,5,BO42,,,Earl Baumgardner,,,USA,,,,,Jim Nerren,,,USA,,,3,SF,,,,,,,,,,,,,,,,,,,,,,,
1967-southern-pro,Southern Pro Championships,,,P,19670220,6,,,,Delmar Sylvia,,,USA,,,,,Jim Shaffer,,,USA,,,3,SF,,,,,,,,,,,,,,,,,,,,,,,
1967-southern-pro,Southern Pro Championships,,,P,19670220,7,BO42,,,Earl Baumgardner,,,USA,,,,,Delmar Sylvia,,,USA,,1-6 6-4 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,
1967-us-pro-indoor,US Pro Indoor,Carpet,8,P,19670227,1,L058,,,Rod Laver,,,AUS,28.553,S129,,,Fred Stolle,,,AUS,28.389,6-3 8-6,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1967-us-pro-indoor,US Pro Indoor,Carpet,8,P,19670227,2,B228,,,Earl Buchholz,,,USA,26.448,R064,,,Dennis Ralston,,,USA,24.589,11-9 7-5,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1967-us-pro-indoor,US Pro Indoor,Carpet,8,P,19670227,3,G075,,,Andres Gimeno,,,ESP,29.569,D133,,,Mike Davies,,,GBR,31.135,6-2 3-6 6-3,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1967-us-pro-indoor,US Pro Indoor,Carpet,8,P,19670227,4,G077,,,Pancho Gonzales,,,USA,38.804,B122,,,Pierre Barthes,,,FRA,25.457,10-8 5-7 7-5,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1967-us-pro-indoor,US Pro Indoor,Carpet,8,P,19670227,5,L058,,,Rod Laver,,,AUS,28.553,B228,,,Earl Buchholz,,,USA,26.448,9-7 6-8 6-3,3,SF,,,,,,,,,,,,,,,,,,,,,,,
1967-us-pro-indoor,US Pro Indoor,Carpet,8,P,19670227,6,G077,,,Pancho Gonzales,,,USA,38.804,G075,,,Andres Gimeno,,,ESP,29.569,8-6 6-3,3,SF,,,,,,,,,,,,,,,,,,,,,,,
1967-us-pro-indoor,US Pro Indoor,Carpet,8,P,19670227,7,L058,,,Rod Laver,,,AUS,28.553,G077,,,Pancho Gonzales,,,USA,38.804,7-5 14-16 7-5 6-2,5,F,,,,,,,,,,,,,,,,,,,,,,,
