tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2024-2205,Noumea,Hard,63,C,,20071231,1,B752,,,Stephane Bohli,R,185,SUI,24.435,219,187,D469,1,,Nicolas Devilder,L,173,FRA,27.767,115,388,6-2 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,2,C723,2,,Flavio Cipolla,R,173,ITA,24.197,142,309,O133,,,Noam Okun,R,185,ISR,29.708,246,164,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,3,G695,,,Augustin Gensse,R,180,FRA,24.392,275,140,K358,3,,Kevin Kim,R,180,USA,29.432,178,237,6-4 4-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,4,G753,4,,David Guez,R,185,FRA,25.062,184,232,S760,,,Norikazu Sugiyama,R,178,JPN,30.423,590,35,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,5,B929,5,,Alex Bogdanovic,L,183,GBR,23.608,190,224,O195,,,Thomas Oger,,,MON,27.775,263,150,6-2 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,6,L503,,,Paolo Lorenzi,R,183,ITA,26.042,294,128,CA12,6,,Jeremy Chardy,R,188,FRA,20.882,192,219,3-6 7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,7,H469,,,KJ Hippensteel,L,191,USA,27.647,1488,1,MA38,7,,Jan Mertl,R,191,CZE,25.99,196,216,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,8,R628,8,,Laurent Recouderc,R,,AND,23.474,213,193,CD00,,,Maxime Chazal,R,175,FRA,14.686,,,6-0 6-0,3,R32,209,8,3,121,62,45,27,18,5,9,6,5,143,82,53,29,18,9,14
2024-2205,Noumea,Hard,63,C,,20071231,9,A678,,,Kevin Anderson,R,203,RSA,21.621,221,185,V339,,,Simone Vagnozzi,R,,ITA,24.589,274,140,6-7(5) 6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,10,I165,,,Denis Istomin,R,185,UZB,21.314,230,177,D707,,,Aurelien David,,,FRA,20.411,,,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,11,J290,,,Scoville Jenkins,R,188,USA,21.27,273,140,PA95,,,Philippe Poignon,,,FRA,33.843,,,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,12,L386,,,Jean-Rene Lisnard,R,173,MON,28.266,364,94,A922,,,Anthony Azcoaga,,,FRA,27.767,,,6-0 6-0,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,13,N604,,,Nicolas N'Godrela,,,FRA,23.233,,,RA28,,,Yvonick Rivat,,,FRA,33.279,,,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,14,O264,,,Josselin Ouanna,R,193,FRA,21.714,301,124,K688,,,Daniel King-Turner,R,191,NZL,23.628,344,102,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,15,S893,,,Martin Slanar,R,,AUT,26.667,290,132,C585,,,Tomas Cakl,R,178,CZE,26.683,267,145,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,16,SG87,,,Ryan Sweeting,R,196,USA,20.465,254,159,MB53,,,Adrian Menendez-Maceiras,R,183,ESP,22.174,232,174,6-7(8) 6-1 2-0 RET,3,R32,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,17,C723,2,,Flavio Cipolla,R,173,ITA,24.197,142,309,S893,,,Martin Slanar,R,,AUT,26.667,290,132,6-2 7-5,3,R16,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,18,G753,4,,David Guez,R,185,FRA,25.062,184,232,J290,,,Scoville Jenkins,R,188,USA,21.27,273,140,6-3 6-1,3,R16,,,,,,,,,,,,,,,,,,,
2024-2205,Noumea,Hard,63,C,,20071231,19,A678,,,Kevin Anderson,R,203,RSA,21.621,221,185,B929,5,,Alex Bogdanovic,L,183,GBR,23.608,190,224,6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,
