tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-2935,Bonn,Clay,32,C,O,20260727,1,CH12,1,,Jan Choinski,R,196,GBR,30.127,88,707,P0CT,,,Francesco Passaro,R,180,ITA,25.55,220,258,6-3 6-4,3,R32,73,5,2,53,35,29,13,10,1,1,2,4,52,32,24,10,9,6,8
2026-2935,Bonn,Clay,32,C,O,20260727,2,R09X,3,,Jurij Rodionov,L,191,AUT,27.198,136,458,B0FI,,,Pedro Boscardin Dias,R,180,BRA,23.493,256,217,6-3 6-4,3,R32,84,5,2,60,37,27,14,10,0,1,3,4,61,33,24,11,9,6,9
2026-2935,Bonn,Clay,32,C,O,20260727,3,M19T,,,Jamie Mackenzie,R,180,GER,18.53,931,24,G0CV,,,Buvaysar Gadamauri,R,180,BEL,26.045,251,219,7-6(4) 6-2,3,R32,81,5,2,53,34,29,14,10,1,2,5,1,71,49,32,11,10,6,9
2026-2935,Bonn,Clay,32,C,O,20260727,4,R0ED,,,Max Hans Rehberg,R,183,GER,22.869,339,152,TA12,2,,Stefano Travaglia,R,185,ITA,34.579,142,429,6-3 6-1,3,R32,61,0,1,45,37,28,5,8,0,0,1,2,44,24,16,8,8,4,8
2026-2935,Bonn,Clay,32,C,O,20260727,5,S0AK,,,Henri Squire,R,196,GER,25.829,214,263,T09X,4,,Clement Tabur,R,173,FRA,26.505,159,353,4-6 6-4 6-4,3,R32,140,6,12,92,58,39,14,15,6,10,2,2,94,56,30,23,15,5,10
2026-2935,Bonn,Clay,32,C,O,20260727,6,CF59,5,,Roberto Carballes Baena,R,183,ESP,33.344,176,323,H0CX,,,Max Houkes,L,188,NED,26.064,241,230,6-4 3-6 6-2,3,R32,124,2,7,88,56,43,14,14,2,5,5,1,76,53,32,13,13,2,6
2026-2935,Bonn,Clay,32,C,O,20260727,7,G0IB,6,,Tom Gentzsch,R,191,GER,22.891,186,310,R0A7,,,Joao Lucas Reis Da Silva,R,178,BRA,26.335,259,214,6-3 6-3,3,R32,84,7,5,57,37,31,8,9,1,1,1,1,68,36,22,15,9,2,5
2026-2935,Bonn,Clay,32,C,O,20260727,8,M0K4,7,,Elmer Moller,R,183,DEN,23.05,190,302,T0FI,,,Marko Topo,R,185,GER,22.869,348,147,6-4 7-5,3,R32,99,0,8,64,39,26,12,11,3,6,3,2,67,38,20,14,11,1,6
2026-2935,Bonn,Clay,32,C,O,20260727,9,GJ16,8,,Federico Agustin Gomez,R,191,ARG,29.665,191,298,S0VU,,,Max Schoenhaus,R,180,GER,18.987,310,172,6-4 6-2,3,R32,74,6,0,51,40,33,6,9,4,4,3,4,64,35,20,14,9,3,6
2026-2935,Bonn,Clay,32,C,O,20260727,10,B0GY,,,Alex Barrena,R,175,ARG,23.795,264,211,N830,,,Johan Nikles,R,173,SUI,29.344,412,115,3-6 6-3 6-3,3,R32,139,1,1,92,57,35,23,13,6,8,0,2,93,55,37,17,14,5,9
